frame,class_name,confidence,x1,y1,x2,y2
0,person,0.8704636693000793,396,421,454,501
0,person,0.8691579699516296,794,468,863,566
0,person,0.7602571249008179,1086,349,1133,438
0,person,0.7538999915122986,149,266,188,347
0,person,0.7488253712654114,1134,251,1174,331
0,person,0.7426995635032654,1241,146,1269,211
0,person,0.7394019365310669,430,162,467,227
0,person,0.7215331196784973,840,189,872,246
0,person,0.7154586315155029,723,195,751,260
0,person,0.7147507667541504,372,156,403,216
0,person,0.707527756690979,639,224,662,297
0,person,0.6642078161239624,530,427,578,521
0,person,0.6438297033309937,885,123,911,177
0,person,0.6261997818946838,491,429,542,524
0,person,0.6143069863319397,558,95,581,145
0,person,0.5149432420730591,706,83,729,127
0,person,0.46273526549339294,830,661,927,720
1,person,0.8861510157585144,802,468,876,564
1,person,0.8634256720542908,405,420,456,500
1,person,0.835177481174469,156,264,201,347
1,person,0.7688747048377991,1088,350,1148,440
1,person,0.7631756663322449,442,161,481,227
1,person,0.7357766032218933,734,193,760,258
1,person,0.7174742817878723,1146,254,1180,334
1,person,0.7097876071929932,850,189,878,248
1,person,0.695749044418335,382,155,417,216
1,person,0.6466034054756165,650,223,673,297
1,person,0.6299728751182556,570,95,595,144
1,person,0.6116255521774292,499,430,574,521
1,person,0.5807288289070129,1256,148,1279,209
1,person,0.5130715370178223,898,126,921,179
1,person,0.4478219151496887,718,84,741,127
1,person,0.36858946084976196,846,661,938,720
2,person,0.8569299578666687,811,467,883,559
2,person,0.8286135792732239,416,418,458,499
2,person,0.8238742351531982,166,265,213,347
2,person,0.7692112922668457,743,195,770,259
2,person,0.7320637702941895,455,163,493,228
2,person,0.7221271395683289,500,430,572,519
2,person,0.7074013352394104,861,190,892,247
2,person,0.6887091398239136,1154,257,1186,335
2,person,0.6778455376625061,397,156,428,216
2,person,0.6655095815658569,662,220,685,297
2,person,0.6562404036521912,580,96,607,145
2,person,0.5530810356140137,1093,349,1150,428
2,person,0.5267603397369385,730,84,753,127
2,person,0.4990801513195038,911,125,934,176
3,person,0.8608670830726624,171,265,226,348
3,person,0.8526696562767029,820,462,890,551
3,person,0.7807015180587769,427,417,465,501
3,person,0.7592096328735352,752,193,781,260
3,person,0.7518988251686096,872,188,906,250
3,person,0.7411328554153442,675,222,699,297
3,person,0.7115200757980347,410,156,438,216
3,person,0.6970325112342834,1167,256,1195,337
3,person,0.6886882185935974,466,163,505,227
3,person,0.6822177767753601,500,430,571,516
3,person,0.6482609510421753,1090,350,1160,433
3,person,0.6114907264709473,592,96,621,145
3,person,0.6030598282814026,923,124,946,175
3,person,0.5996882319450378,744,84,765,128
3,person,0.35259583592414856,607,46,632,89
3,person,0.3031805455684662,875,663,968,720
4,person,0.8649349212646484,829,460,894,549
4,person,0.831341564655304,183,264,233,344
4,person,0.786429226398468,479,162,518,228
4,person,0.771773099899292,433,415,477,494
4,person,0.7680029273033142,761,194,794,266
4,person,0.7626027464866638,879,187,917,249
4,person,0.7310104966163635,1173,257,1205,338
4,person,0.6512793302536011,423,156,448,213
4,person,0.6493061184883118,686,223,710,298
4,person,0.6418269276618958,1089,348,1157,435
4,person,0.6166032552719116,545,428,578,517
4,person,0.5699829459190369,502,435,549,515
4,person,0.567594051361084,606,98,633,143
4,person,0.49056169390678406,757,83,775,128
4,person,0.38425636291503906,935,126,957,178
4,person,0.35439521074295044,617,47,645,89
5,person,0.8193962574005127,838,463,900,547
5,person,0.8063676357269287,437,414,488,493
5,person,0.7828251719474792,1180,257,1218,339
5,person,0.7702630162239075,191,264,231,346
5,person,0.7618160247802734,694,225,726,299
5,person,0.7608059048652649,771,195,807,266
5,person,0.7269019484519958,889,186,928,249
5,person,0.7182203531265259,493,160,528,226
5,person,0.6997613906860352,435,155,461,216
5,person,0.6843292713165283,618,98,645,144
5,person,0.6076979041099548,550,427,581,513
5,person,0.5942196846008301,1103,349,1144,433
5,person,0.5183727145195007,946,123,969,178
5,person,0.44931772351264954,502,436,558,517
5,person,0.438339501619339,769,84,787,129
5,person,0.3820454776287079,631,46,658,89
6,person,0.8235200047492981,434,413,493,496
6,person,0.8074516654014587,846,463,908,547
6,person,0.75911545753479,898,188,941,250
6,person,0.7587766647338867,702,225,738,299
6,person,0.7468626499176025,1192,258,1232,343
6,person,0.7376008033752441,782,194,811,266
6,person,0.725831925868988,204,266,243,345
6,person,0.7014990448951721,447,155,470,215
6,person,0.6961269378662109,507,160,539,227
6,person,0.6636755466461182,551,424,585,510
6,person,0.633387565612793,1113,350,1140,428
6,person,0.6258466839790344,499,438,548,518
6,person,0.5665331482887268,630,97,657,143
6,person,0.5152930021286011,780,84,799,128
6,person,0.4539527893066406,959,123,984,177
7,person,0.8675150275230408,853,454,920,547
7,person,0.8053866028785706,440,411,496,496
7,person,0.8011344075202942,1199,259,1242,341
7,person,0.7592368125915527,211,266,245,345
7,person,0.7521920800209045,793,197,821,268
7,person,0.740193247795105,716,225,752,298
7,person,0.7158562541007996,555,423,589,506
7,person,0.7102536559104919,461,155,481,215
7,person,0.7044402360916138,517,159,544,226
7,person,0.6646172404289246,1117,349,1150,429
7,person,0.6558582782745361,909,188,947,249
7,person,0.6262026429176331,970,122,997,178
7,person,0.621907651424408,503,441,547,508
7,person,0.5829883217811584,642,96,666,145
7,person,0.5816567540168762,793,84,814,126
7,person,0.31559330224990845,928,663,1026,720
8,person,0.847508430480957,858,451,929,548
8,person,0.7446001172065735,530,159,556,227
8,person,0.725452721118927,471,156,494,216
8,person,0.7241000533103943,1210,257,1255,339
8,person,0.6969522833824158,1117,346,1155,430
8,person,0.6825904846191406,561,417,592,506
8,person,0.6800703406333923,458,412,499,490
8,person,0.6685280203819275,803,196,827,267
8,person,0.6584051847457886,221,266,258,345
8,person,0.6186660528182983,727,225,767,296
8,person,0.6015697121620178,985,123,1009,178
8,person,0.5751384496688843,655,97,677,143
8,person,0.5708330273628235,923,189,955,250
8,person,0.5223144888877869,498,445,549,496
8,person,0.36661121249198914,805,84,827,128
8,person,0.3160439431667328,947,666,1043,720
9,person,0.8303194642066956,866,453,934,539
9,person,0.7512415647506714,566,414,602,507
9,person,0.7500810027122498,742,226,778,298
9,person,0.7340970039367676,1118,346,1165,436
9,person,0.7326526641845703,544,159,569,227
9,person,0.7274549603462219,813,196,838,264
9,person,0.7166396975517273,228,266,270,346
9,person,0.7032324075698853,481,155,507,217
9,person,0.6394789218902588,1221,257,1252,334
9,person,0.6347477436065674,467,412,506,477
9,person,0.6180672645568848,997,127,1020,182
9,person,0.5747457146644592,499,447,554,494
9,person,0.5210124850273132,669,95,687,144
9,person,0.4992159903049469,934,192,962,248
9,person,0.46005040407180786,816,85,841,129
9,person,0.3668903708457947,684,43,703,83
10,person,0.8304250240325928,235,265,284,347
10,person,0.7978424429893494,872,447,937,534
10,person,0.7931612133979797,569,412,611,504
10,person,0.748547375202179,1122,348,1179,440
10,person,0.7455846071243286,754,228,792,297
10,person,0.7229034900665283,493,157,521,215
10,person,0.7036914825439453,823,197,848,268
10,person,0.6833812594413757,1231,261,1260,338
10,person,0.6458829641342163,556,157,583,227
10,person,0.6327983140945435,471,410,520,495
10,person,0.6321322321891785,1010,128,1032,182
10,person,0.5616484880447388,679,93,699,141
10,person,0.5501614809036255,830,86,853,129
10,person,0.5368119478225708,946,189,970,247
10,person,0.4004405736923218,975,667,1074,720
10,person,0.3485676050186157,493,444,565,518
11,person,0.8534877896308899,568,410,622,504
11,person,0.8027129173278809,242,265,295,346
11,person,0.7609691619873047,568,159,596,227
11,person,0.7569758296012878,832,196,860,267
11,person,0.7479344606399536,474,412,578,515
11,person,0.7417411208152771,880,444,929,526
11,person,0.7181006073951721,767,227,803,297
11,person,0.7175341248512268,502,157,534,216
11,person,0.7110851407051086,1121,347,1185,437
11,person,0.6451754570007324,1240,264,1272,337
11,person,0.6012841463088989,690,94,713,145
11,person,0.5649319887161255,841,87,866,128
11,person,0.5037595629692078,955,189,980,248
11,person,0.3627597689628601,1023,127,1043,179
11,person,0.34188947081565857,988,668,1091,720
12,person,0.8146962523460388,568,410,625,505
12,person,0.7950296401977539,252,265,301,346
12,person,0.7796693444252014,576,160,611,228
12,person,0.7658235430717468,889,443,936,529
12,person,0.7542464733123779,842,199,872,267
12,person,0.7266678214073181,1119,349,1192,435
12,person,0.7137705087661743,966,191,993,251
12,person,0.7086113691329956,781,227,813,297
12,person,0.7032052278518677,516,160,546,216
12,person,0.6521443724632263,478,409,569,505
12,person,0.632854163646698,1250,265,1279,337
12,person,0.5834074020385742,854,88,880,128
12,person,0.5656478404998779,704,97,726,146
12,person,0.47814416885375977,1034,128,1056,183
12,person,0.3742663860321045,1003,669,1106,720
13,person,0.8602160811424255,893,444,946,533
13,person,0.7539184093475342,846,200,887,268
13,person,0.7468780875205994,794,227,825,297
13,person,0.7395479679107666,589,162,626,227
13,person,0.7366248965263367,262,266,305,346
13,person,0.7014531493186951,580,407,625,493
13,person,0.697748064994812,1117,348,1194,436
13,person,0.6712718605995178,973,188,1008,252
13,person,0.6693406105041504,528,160,559,216
13,person,0.6686396598815918,1047,128,1071,183
13,person,0.6447055339813232,714,97,740,145
13,person,0.5940296649932861,492,415,585,512
13,person,0.5197136998176575,866,87,890,129
13,person,0.30987659096717834,733,51,754,92
14,person,0.7603121995925903,268,267,308,346
14,person,0.7424006462097168,540,161,566,218
14,person,0.7386490702629089,602,161,638,228
14,person,0.7268110513687134,856,199,896,268
14,person,0.712975800037384,806,227,833,296
14,person,0.7063592076301575,896,443,960,533
14,person,0.7022354006767273,505,419,587,516
14,person,0.6767111420631409,1131,353,1185,431
14,person,0.666171669960022,586,410,630,494
14,person,0.6017217040061951,984,190,1019,251
14,person,0.5930606126785278,725,98,753,145
14,person,0.5828236937522888,880,88,901,131
14,person,0.5605067014694214,1057,127,1084,183
14,person,0.31495362520217896,31,688,77,720
15,person,0.8512706160545349,900,440,968,531
15,person,0.7935158014297485,276,266,307,345
15,person,0.786594569683075,508,418,572,509
15,person,0.7286453247070312,1146,355,1175,426
15,person,0.7147975564002991,553,163,575,215
15,person,0.7075791954994202,614,164,648,228
15,person,0.692793071269989,589,408,628,497
15,person,0.6857987642288208,866,199,900,266
15,person,0.6733939051628113,817,227,844,298
15,person,0.5944660305976868,1068,128,1100,184
15,person,0.5627235770225525,736,99,764,147
15,person,0.5392386317253113,993,191,1028,249
15,person,0.41435596346855164,893,88,910,129
16,person,0.8448019027709961,905,440,972,528
16,person,0.7953489422798157,283,264,314,346
